word_to_learn;meaning;interval;last_review;next_review;known_word;learned_on;add_on_known_words;translation;row;audio
fur;": [1ma piece of the dressed pelt of an animal used to make, trim, or line wearing apparel[0m. 
2. : an article of clothing made of or with fur. 
3. : the hairy coat of a mammal especially when fine, soft, and thick.";0;2023-07-01;2023-07-01;1;2023-07-01;;fourrure;1;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fu/fur_en_us_1.mp3
realm;"[1mthe region, sphere, or domain within which anything occurs, prevails, or dominates[0m. the realm of dreams. 
3. the special province or field of something or someone. the realm of physics.";3;2023-07-21;2023-08-04;;;;royaume;2;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/re/realm_en_us_1.mp3
landscape;[countable, usually singular] [1meverything you can see when you look across a large area of land, especially in the country[0m. the woods and fields that are typical features of the English landscape. an urban landscape. the bleak/barren/rugged landscape of the area.;4;2023-08-04;2023-08-25;;;;paysage;3;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/la/landscape_en_us_1.mp3
wisdom;wisdom. / (ˈwɪzdəm) / noun. [1mthe ability or result of an ability to think and act utilizing knowledge, experience, understanding, common sense, and insight[0m. accumulated knowledge, erudition, or enlightenment.;3;2023-08-07;2023-08-14;;;;sagesse;4;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/wi/wisdom_en_us_1.mp3
particle;/ˈpɑːrtɪkl/ ​[1ma very small piece of something[0m. particles of dust/gold. dust/gold particles. There was not a particle of evidence (= no evidence at all) to support the case.;22;2023-07-28;2024-01-24;;;;particule;5;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pa/particle_en_us_1.mp3
bitter;[1mhaving a slightly stinging, strong taste, not salty or sweet[0m: The coffee was bitter;4;2023-07-23;2023-08-13;;;;amer;6;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/bi/bitter_en_us_1.mp3
flour;[1mpowder made from grain, esp.[0m [1mwheat, used for making bread, cakes, pasta, pastry, etc.[0m: wheat/rye flour.;5;2023-07-28;2023-08-25;;;;farine;7;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fl/flour_en_us_1.mp3
jaw; [1mthe mouth of a person or animal, especially a large and frightening animal[0m: The lion opened its jaws and roared. something that opens and closes like the upper and lower parts of a mouth: His foot was caught in the jaws of the trap.;3;2023-07-29;2023-08-12;;;;mâchoire;8;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ja/jaw_en_us_1.mp3
wise;: [1mhaving or showing wisdom, good sense, or good judgment[0m : sensible.;3;2023-08-07;2023-08-14;;;;sage;9;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/wi/wise_en_us_1.mp3
sight; [1mthe ability to see, or the act of seeing something[0m: Machines don&#39:t have a sense of sight.;3;2023-08-04;2023-08-18;;;;vue;10;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/si/sight_en_us_1.mp3
urge;"/ɝːdʒ/ C
1. [1mto strongly advise or try to persuade someone to do a particular thing[0m: [ + to infinitive ] Lawyers will urge the parents to take further legal action.";5;2023-08-04;2023-09-01;;;;envie;11;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ur/urge_en_us_1.mp3
mansion;": [1ma large imposing residence[0m. 
(2) : manor house. b. : a separate apartment or lodging in a large structure.";5;2023-08-04;2023-09-01;;;;manoir;12;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ma/mansion_en_us_1.mp3
widow;"wid·​ow ˈwi-(ˌ)dō Synonyms of widow. 
1. a. : [1ma woman who has lost her spouse or partner by death and usually has not remarried[0m.";2;2023-08-04;2023-08-11;;;;veuve;13;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/wi/widow_en_us_1.mp3
fate;"
1. : [1mthe will or principle or determining cause by which things in general are believed to come to be as they are or events to happen as they do[0m : destiny.";4;2023-08-04;2023-08-25;;;;destin;14;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fa/fate_en_us_1.mp3
pile;noun. [1man assemblage of things laid or lying one upon the other[0m: a pile of papers:a pile of bricks. Informal. a large number, quantity, or amount of anything: a pile of work.;5;2023-08-03;2023-08-31;;;;;15;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pi/pile_en_us_1.mp3
