word_to_learn;meaning;interval;last_review;next_review;known_word;learned_on;add_on_known_words;translation;row;audio
y;Vigésima sexta letra del alfabeto español, su nombre es i griega o ye : representa la consonante africada, palatal y sonora, salvo cuando va a final de palabra como último elemento de un diptongo o triptongo, en cuyo caso equivale a una i.;0;2023-05-27;2023-09-04;;;;et;2;N/A
intelligent;Qui a la faculté de connaître et de comprendre.;0;2023-05-27;2023-05-27;1;2023-05-27;;N/A;3;N/A
consuelo;Acción de consolar o consolarse.;2;2023-07-29;2023-08-05;;;;confort;4;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/co/consuelo_es_us_1.mp3
recámara;f. Cuarto situado detrás de la habitación principal, que se destinaba a guardar los vestidos o alhajas.;3;2023-07-18;2023-08-01;;;;chambre à coucher;5;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/re/rec%C3%A1mara_es_us_1.mp3
anciana;Dicho de una persona: De mucha edad.;4;2023-07-15;2023-08-05;;;;vieille femme;6;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/an/anciana_es_us_1.mp3
detrás;Adverbio de lugar que significa :en la parte posterior:.;3;2023-07-24;2023-08-07;;;;derrière;7;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/de/detr%C3%A1s_es_us_1.mp3
tocas;tr. Acercar algo a otra cosa, para que le comunique cierta virtud, como un hierro al imán, una medalla a una reliquia, etc. 9.;6;2023-08-01;2023-09-05;;;;N/A;8;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/to/tocas_es_us_1.mp3
rostro;Cara de una persona.;4;2023-08-01;2023-08-22;;;;affronter;9;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ro/rostro_es_us_1.mp3
montero;Persona que busca y persigue la caza en el monte, o la ojea hacia el sitio en que la esperan los cazadores.;3;2023-07-21;2023-08-04;;;;chasseur;10;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mo/montero_es_us_1.mp3
mirada;Acción de mirar o dirigir la vista hacia algo.;5;2023-07-22;2023-08-19;;;;regarder;11;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/mi/mirada_es_us_1.mp3
aire;Sustancia gaseosa, transparente, inodora e insípida que envuelve la Tierra y forma la atmósfera: está constituida principalmente por oxígeno y nitrógeno, y por cantidades variables de argón, vapor de agua y anhídrido carbónico.;1;2023-05-31;2023-06-04;1;2023-05-31;;air;12;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ai/aire_es_us_1.mp3
habrá;Hallarse o existir real o figuradamente.;5;2023-07-08;2023-08-07;;;;aura;13;N/A
comedor;Que come algo o se alimenta de ello.;4;2023-07-23;2023-08-13;;;;salle à manger;14;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/co/comedor_es_us_1.mp3
campana;Instrumento sonoro constituido por un recipiente hueco en forma de copa o vaso invertidos, generalmente de bronce, que suena al ser golpeado por una pieza que cuelga en su interior (badajo) o por un martillo exterior.;5;2023-07-08;2023-08-07;;;;cloche;15;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ca/campana_es_us_1.mp3
caminas;intr. Dicho de un hombre o de un animal: Ir andando de un lugar a otro. 4.;5;2023-07-22;2023-08-19;;;;tu marches;16;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ca/caminar_es_us_1.mp3
pie;Parte del cuerpo humano que va desde el tobillo hasta la punta de los dedos, y sirve principalmente para caminar y para sostener el cuerpo.;1;2023-05-31;2023-06-04;1;2023-05-31;;pied;17;N/A
dedos;digitus. m. Cada uno de los cinco apéndices articulados en que terminan la mano y el pie del hombre y, en el mismo o menor número, de muchos animales.;5;2023-07-22;2023-08-19;;;;des doigts;18;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/de/dedos_es_us_1.mp3
espalda;Parte posterior del cuerpo humano que va desde los hombros hasta la cintura.;5;2023-07-22;2023-08-19;;;;dos;19;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/es/espalda_es_us_1.mp3
almohada;f. Colchón pequeño que sirve para reclinar sobre él la cabeza en la cama. 2.;4;2023-07-29;2023-08-19;;;;oreiller;20;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/al/almohada_es_us_1.mp3
vestíbulo;Sala de un edificio o pieza de una casa inmediata a la puerta principal de entrada.;5;2023-07-18;2023-08-15;;;;hall;21;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ve/vest%C3%ADbulo_es_us_1.mp3
tratas;f. Tráfico que consiste en vender seres humanos como esclavos. ~ de blancas.;5;2023-07-15;2023-08-12;;;;vous traitez;22;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/tr/tratas_es_us_1.mp3
empujas;tr. Hacer fuerza contra alguien o algo para moverlo, sostenerlo o rechazarlo.;2;2023-08-02;2023-08-09;;;;commencer;23;N/A
fondo;Parte interior más baja de una cosa hueca o cóncava.;4;2023-07-27;2023-08-17;;;;arrière-plan;24;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/fo/fondo_es_us_1.mp3
labios;m. Reborde exterior carnoso y móvil de la boca de los mamíferos.;6;2023-07-22;2023-08-26;;;;lèvres;25;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/la/labios_es_us_1.mp3
plantas;Organismo vivo que crece sin poder moverse, en especial el que crece fijado al suelo y se nutre de las sales minerales y del anhídrido carbónico que absorbe por las raíces o por los poros de las hojas.;5;2023-07-30;2023-08-27;;;;sols;26;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pl/plantas_es_us_1.mp3
esfuerzo;m. Empleo enérgico del vigor o actividad del ánimo para conseguir algo venciendo dificultades. 3.;6;2023-07-22;2023-08-26;;;;effort;27;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/es/esfuerzo_es_us_1.mp3
gatos;Mamífero felino de tamaño generalmente pequeño, cuerpo flexible, cabeza redonda, patas cortas, cola larga, pelo espeso y suave, largos bigotes y uñas retráctiles: es carnívoro y tiene gran agilidad, buen olfato, buen oído y excelente visión nocturna: existen muchas especies diferentes.;1;2023-05-31;2023-06-04;1;2023-05-31;;chats;28;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ga/gatos_es_us_1.mp3
escuchas;:Poner atención o aplicar el oído para oír [algo o a alguien]:: «Recuerdo que escuché su revelación con horror» (Chávez Batallador [Méx.;6;2023-07-22;2023-08-26;;;;N/A;29;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/es/escuchas_es_us_1.mp3
jardín;m. Terreno donde se cultivan plantas con fines ornamentales. 2.;6;2023-07-22;2023-08-26;;;;jardin;30;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/ja/jard%C3%ADn_es_us_1.mp3
primera;Indica que el nombre al que acompaña o al que sustituye ocupa el lugar número 1 en una serie o no tiene otra cosa de su misma especie anterior en el tiempo o en el espacio.;5;2023-07-23;2023-08-20;;;;première;31;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pr/primera_es_us_1.mp3
aviso;Información, noticia o advertencia con la que se avisa a alguien de algo.;2;2023-07-27;2023-08-03;;;;avertissement;32;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/av/aviso_es_us_1.mp3
pesos;Fuerza con que la Tierra atrae a un cuerpo, por acción de la gravedad.;1;2023-05-31;2023-06-04;1;2023-05-31;;pesos;33;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/pe/pesos_es_us_1.mp3
distinguir;:Hacer diferencia [entre dos personas o cosas]: y, como pronominal, :ser diferente de otro:.;6;2023-07-15;2023-08-19;;;;distinguer;34;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/di/distinguir_es_us_1.mp3
buscas;Acción de buscar.;6;2023-07-15;2023-08-19;;;;tu cherches;35;https://ssl.gstatic.com/dictionary/static/pronunciation/2022-03-02/audio/bu/buscas_es_us_1.mp3
